timestamp,car_id,lap_id,setup,sample_idx,speed_mps,rpm,throttle_pct,brake_pct,gear,lateral_g,longitudinal_g,fluid_temp_c,sensor_fault
2024-01-01T12:00:00,car_01,1,A,0,54.569,11001,49.5,25.0,6,0.6,-0.126,80.51,0
2024-01-01T12:00:00.200000,car_01,1,A,1,55.477,10933,54.9,27.5,6,0.51,0.327,79.32,0
2024-01-01T12:00:00.400000,car_01,1,A,2,55.771,11235,59.1,17.3,6,1.29,0.446,79.91,0
2024-01-01T12:00:00.600000,car_01,1,A,3,57.584,11489,48.0,22.8,6,0.0,0.714,79.94,0
2024-01-01T12:00:00.800000,car_01,1,A,4,55.15,11553,47.7,27.4,6,0.0,0.2,79.6,0
2024-01-01T12:00:01,car_01,1,A,5,57.689,12106,58.0,28.8,6,0.602,0.569,79.87,0
2024-01-01T12:00:01.200000,car_01,1,A,6,54.85,10946,64.1,35.6,6,0.797,0.24,81.26,0
2024-01-01T12:00:01.400000,car_01,1,A,7,57.123,11766,64.2,23.5,6,0.58,-0.034,80.6,0
2024-01-01T12:00:01.600000,car_01,1,A,8,57.115,12108,60.9,14.5,6,0.679,0.906,80.21,0
2024-01-01T12:00:01.800000,car_01,1,A,9,56.638,11521,57.2,22.2,6,0.261,0.844,80.31,0
2024-01-01T12:00:02,car_01,1,A,10,57.95,12401,76.1,22.4,6,0.881,0.614,80.4,0
2024-01-01T12:00:02.200000,car_01,1,A,11,56.371,12078,72.9,25.3,6,0.393,0.333,80.25,0
2024-01-01T12:00:02.400000,car_01,1,A,12,58.15,12512,78.4,26.2,6,0.996,0.593,80.59,0
2024-01-01T12:00:02.600000,car_01,1,A,13,58.667,12139,68.3,33.8,6,1.139,0.286,80.41,0
2024-01-01T12:00:02.800000,car_01,1,A,14,58.164,12395,72.4,14.9,6,1.0,0.216,81.41,0
2024-01-01T12:00:03,car_01,1,A,15,59.464,12939,67.4,20.3,6,0.94,0.702,81.03,0
2024-01-01T12:00:03.200000,car_01,1,A,16,58.342,12470,71.7,19.2,6,0.575,0.907,80.6,0
2024-01-01T12:00:03.400000,car_01,1,A,17,58.99,12707,73.4,20.6,6,1.16,0.527,81.03,0
2024-01-01T12:00:03.600000,car_01,1,A,18,61.05,12908,69.1,18.7,7,0.653,0.441,80.36,0
2024-01-01T12:00:03.800000,car_01,1,A,19,58.494,12592,65.0,10.3,6,1.025,0.162,81.2,0
2024-01-01T12:00:04,car_01,1,A,20,60.026,12510,66.5,17.0,7,0.78,0.126,80.86,0
2024-01-01T12:00:04.200000,car_01,1,A,21,59.239,12732,63.4,18.1,6,1.182,0.698,81.91,0
2024-01-01T12:00:04.400000,car_01,1,A,22,59.427,12971,85.2,23.4,6,0.544,0.491,82.03,0
2024-01-01T12:00:04.600000,car_01,1,A,23,59.681,12957,85.4,14.5,6,1.163,0.043,80.74,0
2024-01-01T12:00:04.800000,car_01,1,A,24,60.545,13012,77.7,22.2,7,0.566,0.322,81.68,0
